IDX,Applicant_ID,Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
6397,46831,13,0,Banking,Sales Manager,IT,A,Software Developer,PG,Others,Bhubaneswar,2007.0,Psychology,Bhubaneswar,2017.0,Others,Kolkata,2007.0,Kanpur,Surat,2060568,N,A,3,0,0,0,2678738
6400,29000,11,0,Accounts,Bio statistician,Training,M,Marketing Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Pune,Mumbai,1156163,N,D,5,6,3,0,1329587
6401,36104,19,6,Engineering,Consultant,Insurance,H,Software Developer,Grad,Mathematics,Kolkata,2001.0,Mathematics,Kolkata,2013.0,Others,Kolkata,2007.0,Surat,Delhi,2409830,Y,C,5,2,3,0,2837815
6403,19699,16,16,Others,Others,Training,O,Software Developer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bhubaneswar,Bhubaneswar,2753993,Y,Key_Performer,4,7,1,0,3580190
6407,13019,3,0,Marketing,Analyst,IT,N,Product Manager,Grad,Botony,Mangalore,2017.0,Botony,Mangalore,2013.0,Others,Kolkata,2007.0,Guwahati,Bhubaneswar,661115,N,A,1,2,0,0,826393
6409,19058,18,17,Marketing,Analyst,IT,D,HR,PG,Psychology,Mumbai,2002.0,Psychology,Mumbai,2023.0,Others,Kolkata,2007.0,Pune,Surat,2461794,N,B,6,0,1,0,3200332
6410,31303,13,7,Engineering,Sales Execituve,Automobile,L,Sr.Manager,Grad,Engineering,Ahmedabad,2001.0,Engineering,Ahmedabad,2003.0,Others,Delhi,2007.0,Lucknow,Nagpur,1883852,Y,B,4,5,0,0,2411330
6412,45744,10,10,Sales,Sales Execituve,Training,P,Network Engineer,Grad,Statistics,Nagpur,2010.0,Statistics,Nagpur,2010.0,Others,Kolkata,2007.0,Chennai,Kanpur,1857771,N,C,2,0,4,0,2136436
6413,37146,2,2,Banking,Project Manager,BFSI,H,Product Manager,Grad,Zoology,Nagpur,2018.0,Zoology,Nagpur,2013.0,Others,Kolkata,2007.0,Kanpur,Ahmedabad,435698,N,B,2,1,0,0,544622
6417,27883,15,3,IT-Software,Analyst,Telecom,H,Research Analyst,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Nagpur,Bangalore,2767953,N,D,4,0,1,0,3183145
6418,43183,24,11,Healthcare,CEO,FMCG,K,Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Surat,2439366,N,C,6,7,3,0,2805270
6421,22555,17,16,Healthcare,CEO,Training,L,Sr.Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bhubaneswar,Bhubaneswar,2236242,N,C,2,8,3,0,2571678
6422,32740,4,3,Engineering,Sales Manager,IT,L,Sr.Manager,PG,Botony,Ahmedabad,2016.0,Botony,Ahmedabad,2011.0,Others,Kolkata,2007.0,Bhubaneswar,Kanpur,813585,N,B,4,0,1,0,1057660
6429,44207,25,15,Engineering,Business Analyst,FMCG,J,HR,Doctorate,Arts,Mumbai,1995.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Chennai,Chennai,3564650,N,B,2,0,0,0,4812277
6430,17333,0,0,Marketing,Others,Training,M,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Mumbai,0,N,B,0,7,1,0,384594
6431,53240,6,4,HR,Financial Analyst,Automobile,B,Medical Officer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Guwahati,Surat,1123832,Y,Key_Performer,1,5,1,0,1519420
6432,25102,21,0,HR,Project Manager,Training,L,HR,Doctorate,Zoology,Pune,1999.0,Zoology,Pune,2020.0,Others,Kolkata,2007.0,Ahmedabad,Mangalore,2434729,N,Key_Performer,3,0,0,0,3286884
6437,55033,20,12,Marketing,Consultant,Retail,A,Others,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kanpur,Kanpur,2162693,N,A,5,0,0,0,2703366
6439,23663,0,0,Marketing,Others,Training,M,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kolkata,Chennai,0,N,B,0,4,5,0,358144
6441,34839,11,4,Accounts,Analyst,Others,M,Research Analyst,Grad,Engineering,Guwahati,2003.0,Engineering,Guwahati,2005.0,Engineering,Mumbai,2009.0,Nagpur,Pune,1878987,Y,C,3,5,2,0,2212695
6445,35296,13,10,Top Management,Project Manager,Automobile,M,Product Manager,PG,Statistics,Surat,1998.0,Statistics,Surat,2000.0,Statistics,Lucknow,2007.0,Mumbai,Mumbai,2396772,N,C,3,7,3,0,2866539
6446,19430,12,8,Education,Others,Training,F,Medical Officer,Doctorate,Arts,Jaipur,1999.0,Arts,Jaipur,2001.0,Others,Guwahati,2008.0,Delhi,Kolkata,2199516,N,C,2,6,0,0,2731798
6449,33780,8,2,Education,Senior Researcher,BFSI,D,Medical Officer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Bangalore,980204,N,A,1,4,0,0,1274265
6451,21447,0,0,Marketing,Others,Training,M,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Pune,Nagpur,0,N,B,0,3,2,0,395066
6453,48050,10,3,Marketing,Project Manager,Retail,J,Sr.Manager,Grad,Arts,Mumbai,2010.0,Arts,Mumbai,2021.0,Others,Kolkata,2007.0,Kolkata,Mumbai,1808009,N,C,3,0,0,0,2079210
6456,46037,24,19,HR,Sales Execituve,Telecom,J,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mumbai,Bhubaneswar,2245212,N,C,5,3,2,0,2581993
6457,12887,25,0,Sales,Others,FMCG,K,Data Analyst,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Pune,Ahmedabad,1432387,Y,Key_Performer,3,8,3,0,1862103
6462,51002,11,4,Banking,Head,Telecom,I,Sr.Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Ahmedabad,1103076,N,B,5,2,3,0,1378845
6463,44423,20,5,Education,Senior Researcher,Analytics,L,Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bhubaneswar,Kanpur,2344093,N,D,5,6,3,0,2695706
6470,31262,7,2,HR,Business Analyst,Automobile,D,Web Designer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Jaipur,926102,Y,C,3,8,1,0,1107617
6477,49343,10,9,Analytics/BI,Project Manager,Retail,I,Research Analyst,Doctorate,Economics,Delhi,2010.0,Economics,Delhi,2012.0,Others,Kolkata,2007.0,Bangalore,Pune,1596782,Y,A,3,2,0,0,2235494
6479,35200,23,1,Healthcare,Researcher,Retail,D,Marketing Manager,PG,Botony,Jaipur,1997.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Ahmedabad,Kolkata,2934042,N,D,6,0,1,0,3509114
6481,45377,25,17,IT-Software,Bio statistician,Automobile,P,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Pune,1519265,N,C,4,3,1,0,1747154
6482,16191,24,10,Top Management,Others,Telecom,I,Medical Officer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Ahmedabad,Lucknow,1586333,N,A,5,3,2,0,1982916
6483,58480,0,0,Marketing,Others,Training,M,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Mumbai,0,N,B,0,2,4,0,421376
6484,57749,22,8,Top Management,Sales Execituve,Others,L,Manager,PG,Psychology,Surat,1998.0,Psychology,Surat,2020.0,Others,Kolkata,2007.0,Nagpur,Lucknow,2723513,N,D,3,0,0,0,3257321
6485,33298,8,3,Education,Senior Researcher,Automobile,K,HR,Doctorate,Psychology,Ahmedabad,2012.0,Psychology,Ahmedabad,2017.0,Others,Kolkata,2007.0,Delhi,Pune,1633374,N,A,6,2,0,0,2293257
6486,54139,11,1,Others,Analyst,FMCG,C,Research Scientist,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kanpur,Bangalore,1540078,N,A,3,8,0,0,1925097
6488,17564,24,19,HR,Bio statistician,Automobile,J,Assistant Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Chennai,Mumbai,1937579,N,C,3,2,1,0,2228215
6493,55781,0,0,Marketing,Others,Training,M,HR,Doctorate,Botony,Bangalore,2020.0,Botony,Bangalore,2008.0,Others,Kolkata,2007.0,Ahmedabad,Jaipur,0,N,B,0,1,0,0,321441
6496,51733,16,15,IT-Software,Project Manager,FMCG,G,CA,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Guwahati,2118092,N,C,3,5,5,0,2435805
6497,40434,4,0,Marketing,Others,Automobile,N,Marketing Manager,Grad,Engineering,Kolkata,2016.0,Engineering,Kolkata,2022.0,Others,Kolkata,2007.0,Mumbai,Kolkata,563156,N,B,3,1,0,0,703945
6498,18363,16,15,Analytics/BI,Analyst,FMCG,E,Sr.Manager,Grad,Zoology,Bhubaneswar,2004.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Kolkata,2719634,N,A,5,0,0,0,3399542
6499,30477,6,4,Education,Project Manager,Telecom,I,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Surat,766741,Y,B,4,8,3,0,996763
6504,52031,14,7,Marketing,Analyst,Retail,H,Product Manager,Grad,Sociology,Mangalore,2006.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Bangalore,2098386,N,Key_Performer,6,0,0,0,2622982
6505,39451,15,11,IT-Software,Financial Analyst,FMCG,H,Consultant,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Lucknow,Bhubaneswar,1952623,N,C,6,2,3,0,2245516
6510,39402,11,0,Banking,Others,Automobile,I,Product Manager,PG,Chemistry,Ahmedabad,2002.0,Chemistry,Ahmedabad,2004.0,Chemistry,Kolkata,2009.0,Kanpur,Chennai,1555956,Y,D,4,3,0,0,1889552
6514,51785,10,1,Marketing,Bio statistician,Retail,B,Consultant,Doctorate,Psychology,Jaipur,2010.0,Psychology,Jaipur,2008.0,Others,Kolkata,2007.0,Bangalore,Mumbai,2102199,N,Key_Performer,5,1,0,0,2837968
6516,47722,13,2,Engineering,CEO,Aviation,I,Others,Doctorate,Engineering,Pune,1999.0,Engineering,Pune,2001.0,Engineering,Bhubaneswar,2007.0,Kolkata,Jaipur,1863608,N,C,6,6,0,0,2314601
6518,11743,12,5,Banking,Sales Execituve,Insurance,H,Assistant Manager,PG,Botony,Nagpur,2008.0,Botony,Nagpur,2011.0,Others,Kolkata,2007.0,Guwahati,Pune,2134414,N,Key_Performer,6,0,1,0,2774738
6520,24380,12,7,Banking,Team Lead,Training,N,Research Analyst,Grad,Arts,Bhubaneswar,2008.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mumbai,Ahmedabad,1870863,N,Key_Performer,3,0,1,0,2338578
6525,26183,2,0,Accounts,Financial Analyst,Training,P,Sr.Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Chennai,Lucknow,655815,N,C,3,5,0,0,754187
6526,19210,0,0,Marketing,Others,Training,M,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Guwahati,Chennai,0,N,B,0,3,3,0,386955
6529,27617,6,3,Marketing,Others,Analytics,J,Manager,Doctorate,Statistics,Mumbai,2014.0,Statistics,Mumbai,2009.0,Others,Kolkata,2007.0,Mumbai,Pune,1767227,N,C,5,0,0,0,2194895
6530,59525,10,7,Education,Consultant,Automobile,O,Director,PG,Engineering,Nagpur,2010.0,Engineering,Nagpur,2014.0,Others,Kolkata,2007.0,Ahmedabad,Nagpur,1372464,N,B,4,2,2,0,1784203
6531,54104,18,16,Marketing,Analyst,Insurance,F,HR,PG,Zoology,Pune,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Guwahati,3419592,N,C,6,0,1,0,4089832
6532,33737,4,4,HR,Others,Insurance,G,HR,Grad,Zoology,Kolkata,2016.0,Zoology,Kolkata,2022.0,Others,Kolkata,2007.0,Guwahati,Mangalore,635511,N,A,2,2,0,0,826164
6535,50493,0,0,Marketing,Others,Training,M,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Chennai,0,N,B,0,4,1,0,367203
6536,15740,19,19,Top Management,Others,Automobile,D,Network Engineer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Surat,Kanpur,2712024,Y,Key_Performer,2,1,3,0,3525631
6539,44801,1,0,Engineering,Associate,Training,D,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Delhi,Bhubaneswar,464716,N,B,1,3,5,0,580895
6542,28531,17,10,Sales,Sales Execituve,Others,D,Assistant Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mumbai,Mumbai,1490069,N,A,6,0,0,0,1862586
6543,18844,23,3,HR,Financial Analyst,Automobile,F,Research Analyst,Doctorate,Economics,Pune,1997.0,Economics,Pune,2014.0,Others,Kolkata,2007.0,Surat,Kolkata,3301667,N,A,2,1,0,0,4457250
6545,39602,18,6,Marketing,Consultant,Insurance,P,Consultant,Grad,Zoology,Pune,2002.0,Others,Pune,2010.0,Others,Kolkata,2007.0,Mangalore,Pune,2481800,N,B,6,0,0,0,3102250
6548,42723,7,2,Marketing,Team Lead,Others,G,Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Kanpur,Lucknow,972291,N,D,2,4,1,0,1118134
6550,51201,5,4,Healthcare,Researcher,BFSI,N,Marketing Manager,PG,Botony,Surat,2015.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Mangalore,1294022,N,Key_Performer,5,0,0,0,1749517
6551,44080,4,4,Education,Analyst,FMCG,C,Product Manager,PG,Economics,Mumbai,2016.0,Economics,Mumbai,2012.0,Others,Kolkata,2007.0,Pune,Chennai,698874,N,A,4,1,0,0,944877
6553,48129,17,5,HR,Senior Researcher,Insurance,D,Manager,Doctorate,Zoology,Pune,2003.0,Zoology,Pune,2012.0,Others,Kolkata,2007.0,Kanpur,Chennai,3460398,N,Key_Performer,3,1,0,0,4671537
6554,12282,1,0,Education,Financial Analyst,IT,D,Software Developer,Doctorate,Mathematics,Jaipur,2019.0,Mathematics,Jaipur,2012.0,Others,Kolkata,2007.0,Surat,Jaipur,826892,Y,D,2,1,0,0,1065036
6555,16844,19,17,Marketing,Sales Manager,Retail,H,Consultant,Grad,Sociology,Bhubaneswar,2001.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Chennai,Guwahati,2586664,N,B,3,1,0,0,3233330
6556,37036,5,5,HR,Business Analyst,Analytics,I,Others,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Nagpur,433616,N,A,2,8,3,0,563700
6558,24228,11,3,Others,Project Manager,Analytics,N,Others,Doctorate,Others,Ahmedabad,2002.0,Engineering,Ahmedabad,2004.0,Sociology,Lucknow,2009.0,Mangalore,Mumbai,2445799,Y,C,5,5,0,0,3150189
6559,52407,6,1,Others,Associate,IT,E,Assistant Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Delhi,Mangalore,1163652,Y,B,6,5,3,0,1512747
6560,20902,22,19,Banking,Business Analyst,Others,D,Marketing Manager,Doctorate,Sociology,Mumbai,1998.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Chennai,Guwahati,2406254,N,C,3,1,0,0,2988567
6561,36301,11,8,Banking,Analyst,Insurance,M,Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Nagpur,Delhi,1569777,N,B,5,1,3,0,1962221
6562,30856,5,5,Engineering,Project Manager,Training,L,Product Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Ahmedabad,Nagpur,403604,N,A,4,6,0,0,524685
6564,22099,20,2,Marketing,Bio statistician,Aviation,O,Software Developer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Nagpur,Mumbai,2250807,N,A,6,4,2,0,2813508
6565,43066,11,4,Engineering,Bio statistician,FMCG,J,Research Analyst,Doctorate,Others,Lucknow,2009.0,Botony,Lucknow,2017.0,Others,Kolkata,2007.0,Jaipur,Nagpur,2447884,N,A,3,0,0,0,3304643
6566,53865,10,5,Healthcare,Project Manager,BFSI,H,Assistant Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Surat,1118092,N,B,4,8,2,0,1397615
6567,35474,23,8,HR,Team Lead,FMCG,M,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Surat,Lucknow,2545451,Y,A,2,3,0,0,3309086
6568,17686,12,12,Engineering,CEO,Analytics,G,CA,Grad,Engineering,Bangalore,1999.0,Engineering,Bangalore,2001.0,Engineering,Surat,2008.0,Surat,Ahmedabad,2019075,N,A,4,3,0,0,2523843
6570,49030,11,4,Engineering,Consultant,Others,H,Medical Officer,PG,Sociology,Delhi,2009.0,Sociology,Delhi,2020.0,Others,Kolkata,2007.0,Guwahati,Nagpur,2015057,N,Key_Performer,4,1,0,0,2619574
6573,35877,4,4,Marketing,Scientist,Automobile,F,Marketing Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Lucknow,Surat,618257,Y,D,4,8,3,0,739435
6576,54048,5,2,Education,Business Analyst,Automobile,C,HR,Grad,Sociology,Guwahati,2015.0,Sociology,Guwahati,2022.0,Others,Kolkata,2007.0,Mumbai,Mangalore,503011,N,A,3,1,0,0,653914
6577,22580,12,0,Others,Business Analyst,BFSI,P,Manager,PG,Others,Bhubaneswar,2001.0,Botony,Bhubaneswar,2003.0,Psychology,Kolkata,2008.0,Jaipur,Jaipur,2502256,N,A,5,3,1,0,3252932
6578,38227,5,5,Banking,Financial Analyst,Training,A,Medical Officer,Grad,Zoology,Guwahati,2015.0,Zoology,Guwahati,2014.0,Others,Kolkata,2007.0,Bangalore,Bangalore,514817,N,B,4,2,0,0,643521
6580,31885,10,8,Education,Sales Manager,Retail,L,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Jaipur,Surat,1223013,Y,A,4,4,1,0,1589916
6584,15451,18,5,Engineering,Others,Others,C,Network Engineer,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Bangalore,1445999,N,C,6,0,0,0,1662898
6585,45364,9,6,Education,Senior Researcher,FMCG,K,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Guwahati,Mangalore,1711118,N,B,3,7,0,0,2138897
6586,39289,24,3,Top Management,Team Lead,Automobile,A,HR,Doctorate,Arts,Bhubaneswar,1996.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Delhi,Kanpur,2897421,N,A,2,0,0,0,3911518
6588,26001,23,21,Marketing,Business Analyst,Training,O,Research Analyst,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Nagpur,Bangalore,2152269,N,A,3,8,1,0,2690336
6589,30676,11,8,Others,Analyst,Insurance,D,Director,Grad,Chemistry,Pune,2002.0,Chemistry,Pune,2004.0,Chemistry,Bhubaneswar,2009.0,Bangalore,Nagpur,1905183,N,C,2,6,0,0,2190960
6590,31791,13,0,Accounts,Business Analyst,IT,N,Marketing Manager,Grad,Mathematics,Surat,2001.0,Mathematics,Surat,2003.0,Mathematics,Bangalore,2007.0,Mangalore,Kolkata,1962190,N,B,3,4,0,0,2452737
6594,29544,25,0,Marketing,Business Analyst,IT,P,Assistant Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mumbai,Delhi,2717870,Y,A,6,7,5,0,3533231
6595,19458,9,8,Marketing,Others,Aviation,J,Manager,Grad,Zoology,Jaipur,2011.0,Zoology,Jaipur,2019.0,Others,Kolkata,2007.0,Bhubaneswar,Nagpur,1340211,N,B,1,1,0,0,1675263
6598,51207,20,18,Analytics/BI,Consultant,Others,L,Sr.Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Lucknow,Ahmedabad,1668225,N,B,6,0,2,0,2085281
6599,12910,23,3,Education,Consultant,Telecom,F,Others,PG,Psychology,Ahmedabad,1997.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bhubaneswar,Lucknow,1875941,N,A,6,1,1,0,2438723
6602,18108,1,1,Marketing,Team Lead,Automobile,D,HR,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Guwahati,Chennai,540566,N,B,3,7,2,0,675707
6604,14782,7,1,Banking,Project Manager,Analytics,D,HR,Grad,Sociology,Bangalore,2013.0,Sociology,Bangalore,2017.0,Others,Kolkata,2007.0,Kanpur,Ahmedabad,1185635,N,C,1,2,0,0,1363480
6605,22783,13,5,Others,Analyst,Training,H,Medical Officer,Grad,Chemistry,Mangalore,2000.0,Chemistry,Mangalore,2002.0,Others,Pune,2007.0,Bangalore,Kanpur,2080056,Y,Key_Performer,6,7,0,0,2662471
6606,16490,14,3,Education,Business Analyst,Training,E,HR,Grad,Economics,Surat,2006.0,Economics,Surat,2020.0,Others,Kolkata,2007.0,Chennai,Pune,1822426,N,A,6,2,0,0,2278032
6615,40128,2,0,Marketing,Scientist,Automobile,F,Marketing Manager,PG,Others,Mangalore,2018.0,Botony,Mangalore,2010.0,Others,Kolkata,2007.0,Mangalore,Bhubaneswar,638862,N,B,2,1,0,0,830520
6622,32399,16,12,Top Management,Others,IT,E,Research Analyst,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Mangalore,Jaipur,1657715,Y,Key_Performer,6,7,2,0,2155029
6623,44305,9,5,Healthcare,Others,Aviation,E,Sr.Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Pune,Jaipur,1622124,N,D,2,2,3,0,1865442
6624,37927,9,9,Marketing,Sales Manager,BFSI,N,Consultant,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Ahmedabad,Surat,1199821,N,D,5,0,1,0,1379794
6626,37001,6,3,Accounts,Others,Training,A,Marketing Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Surat,Delhi,589380,N,A,4,6,1,0,766194
6630,58941,11,4,Education,Sales Manager,Automobile,M,Software Developer,Grad,Statistics,Ahmedabad,2009.0,Statistics,Ahmedabad,2020.0,Others,Kolkata,2007.0,Surat,Kanpur,1928265,N,C,6,0,0,0,2217504
6632,45722,12,4,Analytics/BI,Bio statistician,Analytics,D,Sr.Manager,PG,Chemistry,Pune,2001.0,Chemistry,Pune,2003.0,Others,Jaipur,2008.0,Mangalore,Nagpur,1687882,Y,A,6,3,1,0,2228004
6634,54910,4,0,Marketing,Consultant,Automobile,A,Marketing Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bangalore,Ahmedabad,491701,N,Key_Performer,6,2,2,0,639211
6635,42049,5,1,Banking,Others,Analytics,K,Others,Doctorate,Sociology,Bangalore,2015.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Nagpur,Mangalore,1299373,N,A,6,0,0,0,1824319
6637,47693,10,0,IT-Software,CEO,Insurance,K,Assistant Manager,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Ahmedabad,Bhubaneswar,1165648,N,B,1,6,3,0,1457060
6639,18029,25,8,Analytics/BI,Project Manager,Telecom,H,Sr.Manager,Grad,Psychology,Nagpur,1995.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Surat,Bhubaneswar,2470230,N,B,4,0,0,0,3087787
6641,35929,24,1,Marketing,Sales Execituve,Retail,C,Product Manager,PG,Botony,Surat,1996.0,Botony,Surat,2023.0,Others,Kolkata,2007.0,Nagpur,Surat,2250510,N,A,6,2,1,0,2925663
6643,21804,20,14,Sales,Senior Researcher,IT,K,Data Analyst,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Guwahati,Surat,1773532,N,A,3,1,0,0,2216915
6646,19270,10,5,Marketing,Bio statistician,BFSI,P,Research Scientist,Under Grad,Chemistry,Bhubaneswar,2002.0,Mathematics,Bhubaneswar,2006.0,Others,Kolkata,2007.0,Bhubaneswar,Bhubaneswar,1601942,N,B,5,0,1,0,2002427
6648,56879,14,11,Banking,Sales Manager,FMCG,C,Others,Grad,Chemistry,Mangalore,1997.0,Chemistry,Mangalore,1999.0,Chemistry,Jaipur,2006.0,Kanpur,Jaipur,1827621,Y,D,2,5,0,0,2152206
